Almacén,Turno,Hora Salida,Hora Retorno Est.,Fin Turno,Conductor,Vehículo,Nº Ruta (en turno),Tiendas en Ruta,Nº Tiendas,Carga Total (kg),Capacidad (kg),% Ocupación,Distancia Real (km),¿Cargó en Ruta?,Punto de Recarga,Coste Energía (€),Coste Mant. (€),Coste Total Ruta (€),Cierre 1ª Tienda,Estado
Atarfe (Central),Turno 1,06:00,07:22,14:15,Conductor FUR-TA-01,Ford E-Transit TA-01,1,Covirán Atarfe Picasso | Covirán Atarfe Jarales | Covirán Atarfe Ermita | Covirán Purchil B,4,1170,1200,97.5 %,17.05,NO,No requiere,0.0,3.07,3.07,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,07:36,14:15,Conductor FUR-TA-02,Ford E-Transit TA-02,2,Covirán Atarfe Cabello | Covirán Atarfe Cement. | Covirán Albolote L. R. | Covirán Albolote Rita | Covirán Peligros F.R.F.,5,1200,1200,100.0 %,16.13,NO,No requiere,0.0,2.9,2.9,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,08:17,14:15,Conductor FUR-TA-03,Ford E-Transit TA-03,3,Covirán Santa Fe Tejar | Covirán Santa Fe Goya | Covirán Santa Fe Murillo | Covirán Purchil A | Covirán Nazareno | Covirán Elvira,6,1190,1200,99.2 %,35.3,NO,No requiere,0.0,6.35,6.35,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,07:48,14:15,Conductor FUR-TA-04,Ford E-Transit TA-04,4,Covirán Venus | Covirán Horno | Covirán Blas de Otero | Covirán S. Allende | Covirán Agua Albayzín,5,1190,1200,99.2 %,25.01,NO,No requiere,0.0,4.5,4.5,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,07:43,14:15,Conductor FUR-TA-05,Ford E-Transit TA-05,5,Covirán Alcalá Real G. | Covirán Chauchina Ancha | Covirán Chauchina Carr. | Covirán Chauchina C31 | Covirán Chauchina Dulc.,5,1200,1200,100.0 %,21.04,NO,No requiere,0.0,3.79,3.79,15:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:01,14:15,Conductor FUR-TA-06,Ford E-Transit TA-06,6,Covirán Pinos Puente | Covirán Pinos Eras | Covirán Pinos Crist. | Covirán Casa Nueva | Covirán Olivares M5B,5,1195,1200,99.6 %,34.52,NO,No requiere,0.0,6.21,6.21,19:00,Cumplido
Atarfe (Central),Turno 1,06:00,07:43,14:15,Conductor FUR-TA-07,Ford E-Transit TA-07,7,Covirán Santiago L. | Covirán Rafael Gago | Covirán Av. Andalucía | Covirán Tórtola | Covirán José Recuerda,5,1160,1200,96.7 %,21.6,NO,No requiere,0.0,3.89,3.89,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,07:57,14:15,Conductor FUR-TA-08,Ford E-Transit TA-08,8,Covirán Pulianas F.G.L. | Covirán Huerta Antón | Covirán Jun | Covirán Alfacar Elena | Covirán Nívar,5,1180,1200,98.3 %,31.51,NO,No requiere,0.0,5.67,5.67,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:04,14:15,Conductor FUR-TA-09,Ford E-Transit TA-09,9,Covirán Julio Moreno | Covirán P. Lumbreras | Covirán Rey Badis | Covirán Olimpia | Covirán Rosa Sabater | Covirán Consuelo,6,1130,1200,94.2 %,25.58,NO,No requiere,0.0,4.6,4.6,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:09,14:15,Conductor FUR-TA-10,Ford E-Transit TA-10,10,Covirán Chauchina Uno | Covirán Cijuela Eras | Covirán Láchar M48B | Covirán Láchar Med. 48 | Covirán Escóznar,5,1150,1200,95.8 %,40.99,NO,No requiere,0.0,7.38,7.38,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,07:34,14:15,Conductor FUR-TA-11,Ford E-Transit TA-11,11,Covirán Cúllar Aurora | Covirán Gabia Murillo | Covirán Gabia Estación | Covirán Gabia San Fran.,4,1155,1200,96.2 %,26.02,NO,No requiere,0.0,4.68,4.68,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,08:28,14:15,Conductor FUR-TA-12,Ford E-Transit TA-12,12,Covirán Calicasas | Covirán Güevéjar | Covirán Nívar (Alm.) | Covirán Cogollos Vega | Covirán Alfacar Alfag. | Covirán Universidad,6,1160,1200,96.7 %,44.01,NO,No requiere,0.0,7.92,7.92,13:30,Cumplido
Atarfe (Central),Turno 1,06:00,08:03,14:15,Conductor FUR-TA-13,Ford E-Transit TA-13,13,Covirán Severo Ochoa | Covirán Av. Madrid | Covirán Gran Capitán | Covirán San Miguel Alta | Covirán Magdalena | Covirán Recoletos,6,1135,1200,94.6 %,24.8,NO,No requiere,0.0,4.46,4.46,13:30,Cumplido
Atarfe (Central),Turno 1,06:00,07:57,14:15,Conductor FUR-TA-14,Ford E-Transit TA-14,14,Covirán Cruces | Covirán San Ramón | Covirán Picasso | Covirán Albacete | Covirán P. Rdgz Acosta,5,1135,1200,94.6 %,31.5,NO,No requiere,0.0,5.67,5.67,14:30,Cumplido
Atarfe (Central),Turno 1,06:00,08:06,14:15,Conductor FUR-TA-15,Ford E-Transit TA-15,15,Covirán Agustina Ar. | Covirán Ancha Gracia | Covirán Portón Tejeiro | Covirán Concepción | Covirán Navarrete | Covirán Molinos,6,1105,1200,92.1 %,27.06,NO,No requiere,0.0,4.87,4.87,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,07:36,14:15,Conductor FUR-TA-16,Ford E-Transit TA-16,16,Covirán Gabias Ctra. | Covirán Armilla S. Miguel | Covirán Gójar,3,1120,1200,93.3 %,38.59,NO,No requiere,0.0,6.95,6.95,18:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:04,14:15,Conductor FUR-TA-17,Ford E-Transit TA-17,17,Covirán Cervantes | Covirán Ctra. Sierra 30 | Covirán V. del Monte | Covirán Sierra 313 | Covirán Almendros 45B,5,1125,1200,93.8 %,37.16,NO,No requiere,0.0,6.69,6.69,15:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:50,14:15,Conductor FUR-TA-18,Ford E-Transit TA-18,18,Covirán Olivares M5 | Covirán Olivares | Covirán Zujaira Reyes | Covirán Alomartes | Covirán Puerto Lope T. | Covirán Puerto Lope Tr,6,1120,1200,93.3 %,60.51,NO,No requiere,0.0,10.89,10.89,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,07:47,14:15,Conductor FUR-TA-19,Ford E-Transit TA-19,19,Covirán Conocimiento | Covirán Colorados | Covirán Carretería | Covirán Almendros 108,4,1115,1200,92.9 %,35.42,NO,No requiere,0.0,6.38,6.38,20:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:09,14:15,Conductor FUR-TA-20,Ford E-Transit TA-20,20,Covirán Huétor Montes | Covirán Almendros 45 | Covirán Cájar | Covirán Zubia F. Ríos | Covirán Chorreras,5,1180,1200,98.3 %,41.17,NO,No requiere,0.0,7.41,7.41,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:00,14:15,Conductor FUR-TA-21,Ford E-Transit TA-21,21,Covirán Alhendín Circ. | Covirán Alhendín Pajar. | Covirán Otura | Covirán Zubia P. Igl.,4,1115,1200,92.9 %,45.03,NO,No requiere,0.0,8.11,8.11,18:00,Cumplido
Atarfe (Central),Turno 1,06:00,09:41,14:15,Conductor FUR-TA-22,Ford E-Transit TA-22,22,Covirán Malahá | Covirán Escúzar Molin. | Covirán Ventas Huelma | Covirán Chimeneas | Covirán Huétor T. 104,5,1185,1200,98.8 %,109.52,NO,No requiere,0.0,19.71,19.71,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,10:07,14:15,Conductor FUR-TA-23,Ford E-Transit TA-23,23,Covirán Deifontes | Covirán Deifontes Lanz. | Covirán Iznalloz | Covirán Dehesas Viejas | Covirán Alcalá Elena,5,1195,1200,99.6 %,129.36,NO,No requiere,0.0,23.28,23.28,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:40,14:15,Conductor FUR-TA-24,Ford E-Transit TA-24,24,Covirán Zubia Machado | Covirán Monachil | Covirán Sierra Nevada 26 | Covirán Pinos Genil | Covirán Quéntar,5,1160,1200,96.7 %,63.87,NO,No requiere,0.0,11.5,11.5,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:48,14:15,Conductor FUR-TA-25,Ford E-Transit TA-25,25,Covirán Huétor Sant. | Covirán Beas Granada | Covirán Güéjar Sierra | Covirán Sierra Nevada,4,1185,1200,98.8 %,81.3,NO,No requiere,0.0,14.63,14.63,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,09:12,14:15,Conductor FUR-TA-26,Ford E-Transit TA-26,26,Covirán Colomera | Covirán Colomera | Covirán Puerto Lope P. | Covirán Puerto Lope Pz | Covirán Mures | Covirán Mures Real,6,1075,1200,89.6 %,76.64,NO,No requiere,0.0,13.8,13.8,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,09:58,14:15,Conductor FUR-TA-27,Ford E-Transit TA-27,27,Covirán Íllora Rogelio | Covirán Montefrío | Covirán Villanueva M. | Covirán Alcalá Lastre,4,1170,1200,97.5 %,133.6,NO,No requiere,0.0,24.05,24.05,19:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:58,14:15,Conductor FUR-TA-28,Ford E-Transit TA-28,28,Covirán Iznalloz | Covirán Dehesas V. | Covirán Domingo Pérez | Covirán Domingo P.,4,1065,1200,88.8 %,88.52,NO,No requiere,0.0,15.93,15.93,18:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:27,14:15,Conductor FUR-TA-29,Ford E-Transit TA-29,29,Covirán Padul Infante | Covirán Padul Real | Covirán Padul Escúzar | Covirán Cozvíjar,4,1115,1200,92.9 %,65.88,NO,No requiere,0.0,11.86,11.86,14:00,Cumplido
Atarfe (Central),Turno 1,06:00,08:36,14:15,Conductor FUR-TA-30,Ford E-Transit TA-30,30,Covirán Moraleda Baza | Covirán Moraleda Sanc. | Covirán Huétor Tájar,3,1090,1200,90.8 %,83.29,NO,No requiere,0.0,14.99,14.99,15:00,Cumplido
